# Time-averaged data for fix 2
# TimeStep c_KE c_PE c_PRESS c_TEMP
524 15378.6 -406.673 0.0514125 2.56374
525 15382.8 -411.035 0.0513378 2.56443
526 15387.5 -415.884 0.0512501 2.56523
527 15391.1 -419.428 0.0511846 2.56582
528 15393.2 -421.445 0.0511466 2.56617
529 15394.5 -422.707 0.0511233 2.56638
530 15395.4 -423.655 0.0511071 2.56654
531 15395.7 -423.974 0.0511029 2.5666
532 15395.4 -423.63 0.0511131 2.56653
533 15394.4 -422.622 0.0511361 2.56637
534 15393.3 -421.491 0.0511618 2.56619
535 15392.4 -420.625 0.051183 2.56605
536 15391.9 -420.095 0.051198 2.56596
537 15391.5 -419.794 0.0512097 2.56589
538 15390.8 -419.178 0.051227 2.56578
539 15389.4 -417.784 0.051258 2.56554
540 15387.2 -415.501 0.0513046 2.56517
541 15384.5 -412.764 0.0513579 2.56473
542 15382.7 -410.813 0.0513949 2.56442
543 15382.8 -410.95 0.0513902 2.56444
544 15385.3 -413.501 0.051337 2.56487
545 15389.5 -417.76 0.0512505 2.56556
546 15394.4 -422.731 0.0511492 2.56638
547 15399.7 -427.934 0.0510427 2.56725
548 15404.8 -433.088 0.0509388 2.56811
549 15409.2 -437.587 0.0508507 2.56884
550 15412.2 -440.678 0.050792 2.56935
551 15413.8 -442.237 0.0507662 2.56961
552 15414.1 -442.466 0.0507692 2.56966
553 15413.6 -441.93 0.0507916 2.56957
554 15412.6 -440.893 0.0508269 2.56941
555 15411.4 -439.712 0.0508687 2.56921
556 15410.2 -438.538 0.0509137 2.569
557 15408.9 -437.209 0.0509629 2.56879
558 15407.5 -435.856 0.0510148 2.56856
559 15406 -434.36 0.0510705 2.56831
560 15404.4 -432.745 0.0511294 2.56804
561 15402.7 -430.988 0.0511909 2.56775
562 15401 -429.34 0.0512507 2.56747
563 15399.5 -427.887 0.051306 2.56723
564 15398.5 -426.866 0.0513524 2.56705
565 15397.9 -426.336 0.0513885 2.56696
566 15397.7 -426.185 0.0514165 2.56693
567 15397.6 -426.085 0.0514432 2.5669
568 15396.9 -425.526 0.0514777 2.5668
569 15395.6 -424.125 0.0515262 2.56657
570 15393.5 -421.977 0.0515876 2.56622
571 15390.9 -419.412 0.0516554 2.56579
572 15388.3 -416.797 0.0517212 2.56535
573 15386 -414.564 0.0517761 2.56498
